loss,accuracy,val_loss,val_accuracy,lr
0.14384851,0.9490132,1.8424087,0.5579313,0.0005
0.14083096,0.95120615,1.7952685,0.5392909,0.0005
0.1310275,0.9539082,1.8888968,0.5575658,0.0005
0.14073172,0.9505404,1.7877892,0.55336255,0.0005
0.12004282,0.95790255,1.9538506,0.5390625,0.0005
0.11611304,0.9588033,1.9648206,0.56747985,0.0005
0.13225916,0.9530467,2.0074902,0.55413926,0.0005
0.10707404,0.9618578,1.856968,0.5703125,0.0005
0.12852824,0.95582706,1.7587264,0.56588084,0.0005
0.11239232,0.9608396,1.8520006,0.54943347,0.0005
0.052141547,0.98284775,2.0259712,0.5747899,0.00020000001
0.031093158,0.99044484,2.2579303,0.5630939,0.00020000001
0.027526692,0.9911497,2.4174247,0.5587994,0.00020000001
0.034797624,0.9886826,2.4865005,0.555784,0.00020000001
0.03405526,0.98856515,2.631782,0.55148935,0.00020000001
0.020640276,0.9936952,2.5355806,0.56674886,8.0000005e-05
0.014025527,0.995849,2.6362863,0.56990135,8.0000005e-05
0.013341084,0.9962798,2.6930404,0.56624633,8.0000005e-05
0.012917596,0.996084,2.8181252,0.55985016,8.0000005e-05
0.012603298,0.9957707,2.8102279,0.55774856,8.0000005e-05
0.010287647,0.99690634,2.8589597,0.5645102,8.0000005e-05
0.012782964,0.995849,2.8822904,0.5577942,8.0000005e-05
0.013265389,0.9960448,2.960763,0.5587994,8.0000005e-05
0.009895761,0.9975329,2.950335,0.563231,3.2000004e-05
0.0072446577,0.99788535,2.951739,0.5667946,3.2000004e-05
0.006843681,0.9981986,2.9854784,0.5660636,3.2000004e-05
0.006496531,0.9982378,2.9988308,0.5688505,3.2000004e-05
0.0064122593,0.9981986,3.0410705,0.5657438,3.2000004e-05
0.005759523,0.9984336,3.0661347,0.56355083,3.2000004e-05
0.0059678964,0.9982378,3.0756388,0.5699013,3.2000004e-05
0.0059590684,0.9981203,3.0728023,0.5657438,3.2000004e-05
0.004811463,0.9987469,3.1174555,0.56592655,1.2800001e-05
0.0047016405,0.99878603,3.1118064,0.56291115,1.2800001e-05
0.0048282985,0.9987469,3.1216621,0.56821084,1.2800001e-05
0.0042394367,0.9990993,3.121141,0.56629205,1.2800001e-05
0.004404053,0.9988252,3.1259918,0.5675713,1.2800001e-05
0.004284,0.99898183,3.1555264,0.5650128,1.2800001e-05
