loss,accuracy,val_loss,val_accuracy,lr
0.007318294,0.9976504,3.2988453,0.6136696,3.2000004e-05
0.006920309,0.99757206,3.2959342,0.61590827,3.2000004e-05
0.0065171523,0.997807,3.3581195,0.61773574,3.2000004e-05
0.005700247,0.9983161,3.4130032,0.6179185,3.2000004e-05
0.0071413983,0.9976504,3.4222434,0.6211623,3.2000004e-05
0.0061272895,0.99815947,3.4321303,0.62047696,3.2000004e-05
0.0040688906,0.9987077,3.4550345,0.6202029,1.2800001e-05
0.00470744,0.9985511,3.4858618,0.62011147,1.2800001e-05
0.004793152,0.9983944,3.4786706,0.6179642,1.2800001e-05
0.0036253254,0.9989427,3.4894257,0.6194719,5.1200004e-06
0.0038888087,0.99898183,3.5003228,0.61787283,5.1200004e-06
0.003761644,0.999021,3.5128217,0.6164108,5.1200004e-06
