loss,accuracy,val_loss,val_accuracy,lr
0.83465743,0.67391133,1.3726771,0.5363213,0.0005
0.81940305,0.67849314,1.4541383,0.5105537,0.0005
0.8167094,0.67861056,1.4763254,0.5027412,0.0005
0.803707,0.68628603,1.4926592,0.5112847,0.0005
0.79919684,0.68832237,1.5657965,0.4946546,0.0005
0.8051151,0.6866385,1.4541469,0.54582417,0.0005
0.7948834,0.6887531,1.439891,0.5273209,0.0005
0.7746203,0.69776,1.4539857,0.53636694,0.0005
0.77100277,0.6970943,1.6137481,0.51137614,0.0005
0.7618065,0.7019111,1.5448742,0.54116416,0.0005
0.7568786,0.7057879,1.5002668,0.53380847,0.0005
0.75364953,0.7069236,1.5572356,0.5107822,0.0005
0.7349191,0.7109571,1.5148066,0.5250366,0.0005
0.7364317,0.7125627,1.4463167,0.54769737,0.0005
0.7249119,0.7182409,1.5854139,0.5139346,0.0005
0.72950846,0.7156955,1.7370156,0.49693897,0.0005
0.7190653,0.71812344,1.6501024,0.51507676,0.0005
0.7116863,0.72352755,1.6069963,0.53275764,0.0005
0.7061585,0.72587717,1.5470003,0.5206963,0.0005
0.7091514,0.724859,1.4558468,0.545413,0.0005
0.6880843,0.73417914,1.522608,0.53321457,0.0005
0.68101573,0.735354,1.5568689,0.5258132,0.0005
0.68390757,0.73460996,1.6401606,0.51493967,0.0005
0.6662566,0.7393875,1.6894536,0.52325475,0.0005
0.6651264,0.741933,1.7101791,0.51123905,0.0005
0.66646034,0.74185467,1.712313,0.5354532,0.0005
0.65027773,0.7444784,1.6671913,0.5145285,0.0005
0.6450092,0.7496867,1.6634591,0.5248538,0.0005
0.63988745,0.75270206,1.6395307,0.5316155,0.0005
0.64787066,0.7462798,1.6677294,0.5280976,0.0005
0.63046646,0.75693136,1.8091905,0.5188231,0.0005
0.62393355,0.75775373,1.6653384,0.5303819,0.0005
0.6172976,0.76202226,1.7420468,0.5096857,0.0005
0.6155531,0.7607691,1.8270574,0.49812683,0.0005
0.60831386,0.7603775,1.829258,0.4989035,0.0005
0.60942286,0.7626096,1.7340121,0.52901137,0.0005
0.59733313,0.76848376,1.5976498,0.5261787,0.0005
0.59794843,0.76883614,1.6996751,0.51507676,0.0005
0.59100085,0.7738487,1.7352512,0.524534,0.0005
0.58694637,0.7716166,1.7648163,0.51197004,0.0005
0.58000535,0.77557176,1.6358387,0.5261787,0.0005
0.5670547,0.7816416,1.7262256,0.5199196,0.0005
0.5721388,0.7784696,1.8848732,0.50475144,0.0005
0.5575613,0.7826206,1.852651,0.50836074,0.0005
0.5544609,0.7863017,1.7475809,0.49917763,0.0005
0.557688,0.7845003,1.8670235,0.4914565,0.0005
0.55283296,0.7861842,1.8748205,0.5226151,0.0005
0.5473344,0.7893562,1.8969746,0.508909,0.0005
